id,date,month,lon,lat,g,cov,sex,length,bathy,ground,year
ct105-15f-13,2014-04-22 9:00,04,94.49964902,-54.90654254,0.646797904,non-cov,f,2.47,-4281.401855,0,2014
ct105-15f-13,2014-03-04 9:00,03,72.40993437,-52.40642523,0.67388959,non-cov,f,2.47,-481.2249146,0,2014
ct105-15f-13,2014-03-01 9:00,03,72.58118615,-52.40948185,0.663041067,non-cov,f,2.47,-258.6105957,0,2014
ct105-15f-13,2014-03-24 9:00,03,78.43091682,-52.76615006,0.757447374,non-cov,f,2.47,-1163.29895,1,2014
ct105-15f-13,2014-03-16 9:00,03,72.70998676,-52.2015857,0.727029719,non-cov,f,2.47,-433.458313,0,2014
ct105-15f-13,2014-03-11 9:00,03,72.72663064,-52.21265396,0.704894092,non-cov,f,2.47,-373.5177002,0,2014
ct105-15f-13,2014-04-10 9:00,04,90.79376806,-54.16928484,0.676349363,non-cov,f,2.47,-4553.329102,0,2014
ct105-15f-13,2014-04-09 9:00,04,90.52846079,-54.25171612,0.680269731,non-cov,f,2.47,-4558.528809,0,2014
ct105-15f-13,2014-04-13 9:00,04,91.09397929,-54.4252292,0.666664627,non-cov,f,2.47,-4414.51709,0,2014
ct105-15f-13,2014-04-18 9:00,04,92.07839036,-55.46843119,0.655794575,non-cov,f,2.47,-4169.418945,0,2014
ct105-15f-13,2014-04-19 9:00,04,93.01811514,-55.27025372,0.652925444,non-cov,f,2.47,-4343.584961,0,2014
ct105-15f-13,2014-04-16 9:00,04,91.53927491,-54.76424562,0.66303115,non-cov,f,2.47,-4244.059082,0,2014
ct105-15f-13,2014-04-27 9:00,04,96.29841577,-55.59175181,0.633543695,non-cov,f,2.47,-4048.865967,0,2014
ct105-15f-13,2014-04-17 9:00,04,91.49459532,-55.17037494,0.659512349,non-cov,f,2.47,-4352.492188,0,2014
ct105-15f-13,2014-02-23 9:00,02,72.68628819,-52.19169879,0.642450264,non-cov,f,2.47,-445.2305908,0,2014
ct105-15f-13,2014-04-06 9:00,04,88.88287328,-54.2408007,0.70153085,non-cov,f,2.47,-4425.438965,0,2014
ct105-15f-13,2014-03-29 9:00,03,82.35953207,-52.65795046,0.753389457,non-cov,f,2.47,-3745.063965,0,2014
ct105-15f-13,2014-03-15 9:00,03,72.82643726,-52.17962092,0.722674138,non-cov,f,2.47,-326.5705872,0,2014
ct105-15f-13,2014-03-13 9:00,03,72.95528237,-52.13015653,0.713702416,non-cov,f,2.47,-421.5851135,0,2014
ct105-15f-13,2014-03-08 9:00,03,72.64881529,-52.35694872,0.691451582,non-cov,f,2.47,-249.6622925,0,2014
ct105-15f-13,2014-03-03 9:00,03,72.48646355,-52.46672007,0.670180106,non-cov,f,2.47,-364.3257141,0,2014
ct105-15f-13,2014-04-12 9:00,04,90.97557748,-54.13951818,0.669785613,non-cov,f,2.47,-4515.171875,0,2014
ct105-15f-13,2014-04-11 9:00,04,90.81899864,-54.1577355,0.673101919,non-cov,f,2.47,-4540.788086,0,2014
ct105-15f-13,2014-04-07 9:00,04,89.62365446,-54.15435694,0.694602717,non-cov,f,2.47,-4526.548828,0,2014
ct105-15f-13,2014-03-21 9:00,03,75.30228151,-52.18466414,0.752852702,non-cov,f,2.47,-421.0073853,0,2014
ct105-15f-13,2014-04-24 9:00,04,95.13505574,-55.56115845,0.637352237,non-cov,f,2.47,-4403.062988,0,2014
ct105-15f-13,2014-02-25 9:00,02,72.69703681,-52.28007577,0.649021185,non-cov,f,2.47,-301.3890076,0,2014
ct105-15f-13,2014-02-28 9:00,02,72.6509591,-52.37074913,0.659542298,non-cov,f,2.47,-226.6824036,0,2014
ct105-15f-13,2014-03-07 9:00,03,72.55461092,-52.37184327,0.686954123,non-cov,f,2.47,-384.8288879,0,2014
ct105-15f-13,2014-04-08 9:00,04,90.45832738,-54.13516976,0.684767704,non-cov,f,2.47,-4594.895996,0,2014
ct105-15f-13,2014-03-05 9:00,03,72.54655532,-52.44898614,0.67798379,non-cov,f,2.47,-290.8275146,0,2014
ct105-15f-13,2014-02-27 9:00,02,72.65241245,-52.36228747,0.656011832,non-cov,f,2.47,-241.4098969,0,2014
ct105-15f-13,2014-02-24 9:00,02,72.67466417,-52.2973784,0.645526604,non-cov,f,2.47,-302.9695129,0,2014
ct105-15f-13,2014-03-02 9:00,03,72.60936223,-52.42861259,0.666603981,non-cov,f,2.47,-271.3117981,0,2014
ct105-15f-13,2014-04-15 9:00,04,91.60040125,-54.58961845,0.664252309,non-cov,f,2.47,-4374.123047,0,2014
ct105-15f-13,2014-04-21 9:00,04,93.83846451,-54.94289786,0.650450122,non-cov,f,2.47,-4234.958008,0,2014
ct105-15f-13,2014-02-26 9:00,02,72.70840485,-52.31588342,0.652538795,non-cov,f,2.47,-298.4283142,0,2014
ct105-15f-13,2014-05-09 9:00,05,96.18426892,-53.86663121,0.60100568,non-cov,f,2.47,-3910.568115,0,2014
ct105-15f-13,2014-06-07 9:00,06,97.31479109,-49.76307119,0.600274332,non-cov,f,2.47,-3460.166992,0,2014
ct105-15f-13,2014-05-10 9:00,05,96.39823897,-53.81277722,0.598348091,non-cov,f,2.47,-3934.594971,0,2014
ct105-15f-13,2014-06-09 9:00,06,97.07288086,-49.07842459,0.597698002,non-cov,f,2.47,-3375.822998,0,2014
ct105-15f-13,2014-05-07 9:00,05,96.63697194,-53.87640483,0.608285465,non-cov,f,2.47,-3859.51001,0,2014
ct105-15f-13,2014-06-12 9:00,06,96.75403741,-48.51668016,0.595314269,non-cov,f,2.47,-3038.058105,0,2014
ct105-15f-13,2014-05-26 9:00,05,97.72695256,-52.74362454,0.578212704,non-cov,f,2.47,-3657.400879,0,2014
ct105-15f-13,2014-06-10 9:00,06,96.83194224,-48.86112832,0.597349975,non-cov,f,2.47,-2893.041992,0,2014
ct105-15f-13,2014-05-03 9:00,05,97.12393088,-54.3762199,0.623885315,non-cov,f,2.47,-3796.188965,0,2014
ct105-15f-13,2014-05-05 9:00,05,96.91575424,-53.98108457,0.615761259,non-cov,f,2.47,-3858.141113,0,2014
ct105-15f-13,2014-06-15 9:00,06,97.00197237,-48.31508123,0.596467982,non-cov,f,2.47,-2724.959961,0,2014
ct105-15f-13,2014-05-04 9:00,05,96.96041669,-54.13679438,0.619805153,non-cov,f,2.47,-3796.518066,0,2014
ct105-15f-13,2014-05-27 9:00,05,97.89827597,-52.4571982,0.576535783,non-cov,f,2.47,-3740.523926,0,2014
ct105-15f-13,2014-06-19 9:00,06,95.91254494,-47.18555898,0.591349247,non-cov,f,2.47,-2975.826904,0,2014
ct105-15f-13,2014-05-06 9:00,05,96.75443752,-53.94687091,0.612096351,non-cov,f,2.47,-4045.427979,0,2014
ct105-15f-13,2014-05-25 9:00,05,97.48991692,-53.01018465,0.577863501,non-cov,f,2.47,-3868.099121,0,2014
ct105-15f-13,2014-06-06 9:00,06,97.1483079,-50.08435932,0.598825207,non-cov,f,2.47,-3317.092041,0,2014
ct105-15f-13,2014-06-23 9:00,06,94.79609455,-47.05535055,0.570938453,non-cov,f,2.47,-3140.805908,0,2014
ct105-15f-13,2014-06-16 9:00,06,96.86061207,-48.19189135,0.598508976,non-cov,f,2.47,-2862.519043,0,2014
ct105-15f-13,2014-06-13 9:00,06,96.86280041,-48.42886085,0.594700591,non-cov,f,2.47,-2963.688965,0,2014
ct105-15f-13,2014-05-02 9:00,05,96.79259329,-54.63165364,0.628775414,non-cov,f,2.47,-3732.394043,0,2014
ct105-15f-13,2014-05-01 9:00,05,96.4058071,-54.98071109,0.632519503,non-cov,f,2.47,-4085.541016,0,2014
ct105-15f-13,2014-05-14 9:00,05,97.71465556,-54.01418512,0.591840063,non-cov,f,2.47,-3875.894043,0,2014
