abund.p,abund.jm,abund.cm,abund.hc,food.source,site.id,tc,Covid,date,time,cb.phase,litter,bins,others,feeding,f.total
1,3,0,1,fh,MF12,CCK,yes,203,69,p0,0,2,0,0,2
0,2,0,0,fh,MF15,PRPG,yes,203,125,p0,0,4,0,0,4
43,5,1,5,fh,MF16,ECFS,yes,203,53,p0,5,0,0,0,5
1,3,0,0,fh,MF38,PRPG,yes,203,93,p0,1,4,1,0,6
12,4,0,0,fh,MF39,PRPG,yes,203,69,p0,2,2,0,0,4
1,1,0,1,fh,MF4,ECFS,yes,203,77,p0,1,3,0,0,4
17,2,0,0,fh,MF49,NS,yes,203,183,p0,1,0,0,1,2
11,5,0,0,fh,MF5,ECFS,yes,203,102,p0,0,1,0,0,1
5,2,0,7,fh,MF6,AH,yes,203,211,p0,2,3,0,0,5
2,19,0,0,hc,HC15,JB,yes,204,205,p0,0,0,0,0,0
4,22,0,3,hc,HC16,JB,yes,204,184,p0,15,0,0,1,16
17,9,0,0,hc,HC17,JB,yes,204,81,p0,1,0,0,0,1
0,5,0,0,hc,HC19,JC,yes,204,248,p0,0,0,0,0,0
2,6,0,0,hc,HC20,JC,yes,204,217,p0,1,0,0,0,1
14,2,0,0,hc,HC21,JC,yes,204,68,p0,0,0,0,0,0
12,18,0,2,hc,HC24,MP,yes,204,260,p0,5,3,0,1,9
1,8,0,0,hc,HC25,MP,yes,204,232,p0,7,1,0,0,8
2,12,0,2,hc,HC35,BTP,yes,204,225,p0,1,2,0,1,4
3,11,0,0,hc,HC37,TP,yes,204,186,p0,0,0,0,0,0
4,10,0,0,hc,HC38,TP,yes,204,238,p0,0,0,0,0,0
18,4,0,0,hc,HC39,TP,yes,204,90,p0,0,1,0,1,2
0,5,0,0,gs,GS4,BTP,yes,204,95,p0,0,0,0,0,0
0,4,0,0,gs,GS5,BTP,yes,204,121,p0,0,0,0,0,0
0,41,0,0,gs,GS21,JC,yes,204,165,p0,0,0,0,0,0
0,0,0,0,gs,GS22,JC,yes,204,151,p0,0,0,0,0,0
0,0,0,0,gs,GS26,TP,yes,204,170,p0,0,0,0,0,0
0,0,0,0,gs,GS27,TP,yes,204,130,p0,0,0,0,0,0
9,12,0,1,bc,BC12,BTP,yes,204,181,p0,1,2,0,1,4
1,3,0,1,bc,BC13,BTP,yes,204,148,p0,0,1,0,0,1
2,2,0,6,bc,BC14,BTP,yes,204,205,p0,0,4,0,0,4
11,5,0,0,bc,BC17,JB,yes,204,160,p0,1,0,0,0,1
9,4,0,0,bc,BC18,JB,yes,204,104,p0,5,1,0,0,6
3,8,0,0,bc,BC20,JB,yes,204,90,p0,1,0,0,0,1
12,7,0,2,bc,BC21,JB,yes,204,176,p0,1,0,0,0,1
0,3,0,0,fh,MF13,HBP,yes,204,105,p0,0,4,0,0,4
21,12,0,0,fh,MF17,JB,yes,204,81,p0,1,1,0,2,4
13,1,2,1,fh,MF18,AH,yes,204,204,p0,2,0,0,0,2
22,2,1,1,fh,MF19,AMK,yes,204,172,p0,3,3,1,0,7
15,6,0,0,fh,MF20,AH,yes,204,231,p0,2,4,0,0,6
12,4,0,1,fh,MF21,JB,yes,204,70,p0,0,0,0,0,0
36,12,0,0,fh,MF22,TP,yes,204,218,p0,2,2,0,0,4
5,4,0,0,fh,MF25,JC,yes,204,194,p0,1,1,0,0,2
5,7,0,0,fh,MF28,JB,yes,204,129,p0,8,0,0,0,8
0,2,0,0,fh,MF8,JB,yes,204,56,p0,0,0,0,0,0
0,11,0,6,hc,HC11,JB,yes,205,232,p0,0,1,0,0,1
13,10,0,0,hc,HC18,JB,yes,205,112,p0,1,0,0,0,1
0,6,0,0,hc,HC22,JC,yes,205,160,p0,1,0,0,0,1
3,7,0,1,hc,HC27,MP,yes,205,251,p0,2,4,0,0,6
0,13,0,8,hc,HC29,MP,yes,205,194,p0,22,2,0,1,25
2,11,0,6,hc,HC30,MP,yes,205,130,p0,33,2,0,1,36
9,15,1,4,hc,HC31,MP,yes,205,59,p0,2,0,0,1,3
3,7,1,3,hc,HC36,TP,yes,205,115,p0,1,3,0,0,4
0,3,0,0,hc,HC41,TP,yes,205,250,p0,1,2,0,0,3
0,1,0,1,hc,HC42,TP,yes,205,200,p0,6,0,0,0,6
0,0,0,0,gs,GS10,PRPG,yes,205,219,p0,0,0,0,0,0
0,0,0,0,gs,GS11,PRPG,yes,205,186,p0,0,0,0,0,0
0,0,0,0,gs,GS12,MP,yes,205,100,p0,0,0,0,0,0
0,0,0,0,gs,GS13,MP,yes,205,84,p0,0,0,0,0,0
0,2,0,0,gs,GS14,ECFS,yes,205,44,p0,0,0,0,0,0
0,1,0,0,gs,GS25,BTP,yes,205,175,p0,0,0,0,0,0
0,0,0,0,gs,GS30,PRPG,yes,205,61,p0,0,0,0,0,0
0,0,0,0,gs,GS41,BTP,yes,205,137,p0,0,0,0,0,0
1,5,0,0,bc,BC15,BTP,yes,205,155,p0,0,0,0,0,0
24,2,0,3,bc,BC16,BTP,yes,205,60,p0,1,0,0,1,2
0,3,0,0,bc,BC19,JB,yes,205,111,p0,0,0,0,0,0
13,13,0,0,bc,BC2,PRPG,yes,205,26,p0,0,1,0,1,2
9,11,0,0,bc,BC27,TP,yes,205,222,p0,1,0,0,1,2
29,6,0,0,bc,BC28,TP,yes,205,152,p0,1,1,0,1,3
2,0,0,0,bc,BC30,TP,yes,205,100,p0,0,0,0,0,0
5,0,0,0,bc,BC31,TP,yes,205,175,p0,0,6,0,0,6
2,1,0,0,bc,BC37,HBP,yes,205,134,p0,1,3,0,0,4
14,4,0,3,bc,BC38,HBP,yes,205,30,p0,1,1,3,0,5
4,1,0,3,bc,BC39,HBP,yes,205,113,p0,1,0,0,0,1
15,4,0,0,bc,BC4,PRPG,yes,205,119,p0,0,3,0,0,3
1,8,0,2,bc,BC40,HBP,yes,205,76,p0,0,1,0,0,1
5,4,0,1,bc,BC41,HBP,yes,205,50,p0,1,0,0,0,1
17,5,0,0,fh,MF23,BTP,yes,205,114,p0,0,0,0,0,0
5,7,1,0,fh,MF24,MP,yes,205,218,p0,3,1,0,0,4
10,1,0,2,fh,MF27,BTP,yes,205,79,p0,2,6,0,0,8
8,10,0,1,fh,MF29,JB,yes,205,137,p0,0,0,0,0,0
4,8,0,0,fh,MF3,HBP,yes,205,92,p0,0,3,0,0,3
13,15,0,0,fh,MF31,JB,yes,205,160,p0,0,2,0,0,2
23,8,2,0,fh,MF32,JB,yes,205,218,p0,0,2,0,1,3
1,15,2,0,fh,MF33,MP,yes,205,166,p0,0,0,0,0,0
14,5,3,0,fh,MF34,JB,yes,205,182,p0,0,1,0,0,1
13,19,0,0,fh,MF36,PRPG,yes,205,101,p0,1,2,0,0,3
8,8,0,0,fh,MF40,JB,yes,205,249,p0,0,0,0,0,0
9,5,0,0,fh,MF43,BTP,yes,205,45,p0,0,2,0,0,2
0,11,2,0,fh,MF44,PRPG,yes,205,145,p0,1,1,0,0,2
6,3,0,2,fh,MF9,BTP,yes,205,29,p0,0,0,0,0,0
4,5,0,3,hc,HC3,AH,yes,206,102,p0,11,0,0,0,11
4,11,0,0,hc,HC4,AH,yes,206,225,p0,2,8,0,0,10
0,2,0,0,hc,HC5,AH,yes,206,194,p0,0,0,0,0,0
1,22,0,0,hc,HC6,AMK,yes,206,160,p0,5,0,0,0,5
1,11,0,0,hc,HC7,AMK,yes,206,58,p0,7,1,0,0,8
41,7,1,0,hc,HC28,MP,yes,206,59,p0,18,2,0,1,21
9,2,0,0,hc,HC40,TP,yes,206,152,p0,6,0,0,0,6
0,3,0,0,gs,GS1,AMK,yes,206,134,p0,0,0,0,0,0
0,0,0,0,gs,GS2,AMK,yes,206,96,p0,0,0,0,0,0
